temporal_change,dispersal,replicate,time,predicted_species,environment_1,community,N
no,no dispersal,2,1,col,dark,polyculture,89
no,no dispersal,2,1,col,light,monoculture,85
no,no dispersal,2,1,col,light,polyculture,20
no,no dispersal,2,1,eug,dark,monoculture,53
no,no dispersal,2,1,eug,dark,polyculture,11
no,no dispersal,2,1,eug,light,monoculture,4846
no,no dispersal,2,1,eug,light,polyculture,131
no,no dispersal,2,1,eup,dark,monoculture,46
no,no dispersal,2,1,eup,dark,polyculture,7
no,no dispersal,2,1,eup,light,monoculture,76
no,no dispersal,2,1,eup,light,polyculture,1
no,no dispersal,2,1,pau,dark,monoculture,137
no,no dispersal,2,1,pau,dark,polyculture,5
no,no dispersal,2,1,pau,light,monoculture,89
no,no dispersal,2,1,pau,light,polyculture,9
no,no dispersal,2,1,rot,dark,monoculture,355
no,no dispersal,2,1,rot,dark,polyculture,23
no,no dispersal,2,1,rot,light,monoculture,341
no,no dispersal,2,1,rot,light,polyculture,7
no,no dispersal,2,1,spi,dark,monoculture,31
no,no dispersal,2,1,spi,dark,polyculture,0
no,no dispersal,2,1,spi,light,monoculture,15
no,no dispersal,2,1,spi,light,polyculture,0
no,no dispersal,2,1,tet,dark,monoculture,144
no,no dispersal,2,1,tet,dark,polyculture,34
no,no dispersal,2,1,tet,light,monoculture,181
no,no dispersal,2,1,tet,light,polyculture,55
no,no dispersal,2,2,col,dark,monoculture,323
no,no dispersal,2,2,col,dark,polyculture,90
no,no dispersal,2,2,col,light,monoculture,45
no,no dispersal,2,2,col,light,polyculture,33
no,no dispersal,2,2,eug,dark,monoculture,203
no,no dispersal,2,2,eug,dark,polyculture,18
no,no dispersal,2,2,eug,light,monoculture,15858
no,no dispersal,2,2,eug,light,polyculture,31
no,no dispersal,2,2,eup,dark,monoculture,48
no,no dispersal,2,2,eup,dark,polyculture,13
no,no dispersal,2,2,eup,light,monoculture,82
no,no dispersal,2,2,eup,light,polyculture,4
no,no dispersal,2,2,pau,dark,monoculture,50
no,no dispersal,2,2,pau,dark,polyculture,9
no,no dispersal,2,2,pau,light,monoculture,55
no,no dispersal,2,2,pau,light,polyculture,4
no,no dispersal,2,2,rot,dark,monoculture,717
no,no dispersal,2,2,rot,dark,polyculture,9
no,no dispersal,2,2,rot,light,monoculture,260
no,no dispersal,2,2,rot,light,polyculture,9
no,no dispersal,2,2,spi,dark,monoculture,20
no,no dispersal,2,2,spi,dark,polyculture,0
no,no dispersal,2,2,spi,light,monoculture,32
no,no dispersal,2,2,spi,light,polyculture,1
no,no dispersal,2,2,tet,dark,monoculture,177
no,no dispersal,2,2,tet,dark,polyculture,2
no,no dispersal,2,2,tet,light,monoculture,513
no,no dispersal,2,2,tet,light,polyculture,16
no,no dispersal,2,3,col,dark,monoculture,576
no,no dispersal,2,3,col,dark,polyculture,22
no,no dispersal,2,3,col,light,monoculture,164
no,no dispersal,2,3,col,light,polyculture,15
no,no dispersal,2,3,eug,dark,monoculture,357
no,no dispersal,2,3,eug,dark,polyculture,5
no,no dispersal,2,3,eug,light,monoculture,14007
no,no dispersal,2,3,eug,light,polyculture,57
no,no dispersal,2,3,eup,dark,monoculture,26
no,no dispersal,2,3,eup,dark,polyculture,7
no,no dispersal,2,3,eup,light,monoculture,205
no,no dispersal,2,3,eup,light,polyculture,2
no,no dispersal,2,3,pau,dark,monoculture,29
no,no dispersal,2,3,pau,dark,polyculture,2
no,no dispersal,2,3,pau,light,monoculture,7
no,no dispersal,2,3,pau,light,polyculture,13
no,no dispersal,2,3,rot,dark,monoculture,70
no,no dispersal,2,3,rot,dark,polyculture,2
no,no dispersal,2,3,rot,light,monoculture,273
no,no dispersal,2,3,rot,light,polyculture,12
no,no dispersal,2,3,spi,dark,monoculture,78
no,no dispersal,2,3,spi,dark,polyculture,0
no,no dispersal,2,3,spi,light,monoculture,16
no,no dispersal,2,3,spi,light,polyculture,0
no,no dispersal,2,3,tet,dark,monoculture,57
no,no dispersal,2,3,tet,dark,polyculture,17
no,no dispersal,2,3,tet,light,monoculture,105
no,no dispersal,2,3,tet,light,polyculture,2
no,no dispersal,2,4,col,dark,monoculture,135
no,no dispersal,2,4,col,dark,polyculture,32
no,no dispersal,2,4,col,light,monoculture,17
no,no dispersal,2,4,col,light,polyculture,35
no,no dispersal,2,4,eug,dark,monoculture,128
no,no dispersal,2,4,eug,dark,polyculture,0
no,no dispersal,2,4,eug,light,monoculture,10489
no,no dispersal,2,4,eug,light,polyculture,108
